timestamp,pos.x,pos.y,pos.z,vel.x,vel.y,vel.z
2025-02-15T21:55:00.000000Z,12663.678232,-23105.28826,-1979.950781,0.209175974,0.388127017,-3.139681054
2025-02-16T16:00:00.000000Z,-23095.782322,-12911.927546,3580.429051,0.533220118,-0.105236692,3.077861666
2025-02-16T16:05:00.000000Z,-22920.230955,-12938.141149,4500.12355,0.637238599,-0.07025971,3.052472197
2025-02-16T16:10:00.000000Z,-22713.386265,-12954.530353,5411.337223,0.741785955,-0.039751844,3.021331684
2025-02-16T16:15:00.000000Z,-22475.140437,-12962.444862,6312.353243,0.846522688,-0.013769341,2.984498375
2025-02-16T16:20:00.000000Z,-22205.487897,-12963.248061,7201.473779,0.951106944,0.00765284,2.94204074
2025-02-16T16:25:00.000000Z,-21904.525806,-12958.310617,8077.023071,1.055195882,0.024501135,2.894037353
2025-02-16T16:30:00.000000Z,-21572.454153,-12949.004053,8937.35043,1.158447058,0.036783401,2.84057676
2025-02-16T16:35:00.000000Z,-21209.575427,-12936.694328,9780.833209,1.260519795,0.044528848,2.781757337
2025-02-16T16:40:00.000000Z,-20816.29389,-12922.735455,10605.879718,1.361076556,0.047787884,2.717687123
2025-02-16T16:45:00.000000Z,-20393.114417,-12908.463171,11410.932119,1.459784306,0.046631875,2.648483651
2025-02-16T16:50:00.000000Z,-19940.640954,-12895.188701,12194.46923,1.556315852,0.041152817,2.574273759
2025-02-16T16:55:00.000000Z,-19459.574561,-12884.192629,12955.00929,1.650351164,0.031462928,2.495193382
2025-02-16T17:00:00.000000Z,-18950.711071,-12876.718897,13691.112662,1.741578669,0.017694146,2.411387345
2025-02-16T17:05:00.000000Z,-18414.938365,-12873.968983,14401.384448,1.829696513,-2.444e-06,2.323009125
2025-02-16T17:10:00.000000Z,-17853.233265,-12877.096245,15084.477074,1.914413783,-0.021457265,2.230220609
2025-02-16T17:15:00.000000Z,-17266.658079,-12887.200489,15739.092757,1.995451693,-0.04648299,2.133191843
2025-02-16T17:20:00.000000Z,-16656.356788,-12905.322755,16363.985919,2.072544715,-0.074875339,2.032100751
2025-02-16T17:25:00.000000Z,-16023.550911,-12932.44037,16957.965502,2.145441668,-0.106413969,1.927132864
2025-02-16T17:30:00.000000Z,-15369.535034,-12969.462264,17519.897214,2.213906741,-0.140863416,1.818481013
2025-02-16T17:35:00.000000Z,-14695.672063,-13017.224587,18048.705669,2.277720466,-0.177974111,1.706345026
2025-02-16T17:40:00.000000Z,-14003.388177,-13076.486634,18543.37644,2.336680622,-0.217483451,1.590931403
2025-02-16T17:45:00.000000Z,-13294.167526,-13147.927107,19002.95801,2.39060307,-0.25911693,1.472452982
2025-02-16T17:50:00.000000Z,-12569.546703,-13232.140715,19426.563613,2.439322518,-0.302589322,1.351128597
2025-02-16T17:55:00.000000Z,-11831.108963,-13329.635146,19813.372997,2.482693217,-0.347605913,1.22718271
2025-02-14T16:00:00.000000Z,-23311.818761,-12850.565608,2069.411682,0.366022296,-0.17163224,3.106656919
2025-02-14T16:05:00.000000Z,-23186.67921,-12895.633137,2999.165533,0.468447798,-0.129531282,3.090728602
2025-02-14T16:10:00.000000Z,-23030.642674,-12928.717619,3923.266432,0.5719472,-0.091762071,3.068976598
2025-02-14T16:15:00.000000Z,-22843.436756,-12951.132675,4839.973224,0.676187797,-0.058415126,3.041442298
2025-02-14T16:20:00.000000Z,-22624.889594,-12964.215951,5747.55872,0.780832308,-0.029560046,3.008177471
2025-02-14T16:25:00.000000Z,-22374.931026,-12969.322802,6644.312819,0.885540232,-0.005245257,2.969244176
2025-02-14T16:30:00.000000Z,-22093.59335,-12967.819914,7528.545562,0.989969217,0.014502152,2.924714652
2025-02-14T16:35:00.000000Z,-21781.011677,-12961.078887,8398.59018,1.09377643,0.029676504,2.874671196
2025-02-14T16:40:00.000000Z,-21437.423871,-12950.469815,9252.806073,1.196619938,0.040293525,2.819206027
2025-02-14T16:45:00.000000Z,-21063.170065,-12937.354872,10089.581785,1.298160086,0.046390248,2.758421133
2025-02-14T16:50:00.000000Z,-20658.691777,-12923.08195,10907.337901,1.398060859,0.048024822,2.692428106
2025-02-14T16:55:00.000000Z,-20224.530613,-12908.978362,11704.5299,1.49599124,0.045276243,2.621347964
2025-02-14T17:00:00.000000Z,-19761.326568,-12896.344637,12479.65096,1.59162654,0.038243996,2.545310956
2025-02-14T17:05:00.000000Z,-19269.815933,-12886.448443,13231.234682,1.684649717,0.027047608,2.464456354
2025-02-14T17:10:00.000000Z,-18750.8288,-12880.518644,13957.857786,1.774752651,0.011826128,2.378932233
2025-02-14T17:15:00.000000Z,-18205.286203,-12879.73954,14658.1427,1.861637398,-0.007262485,2.288895234
2025-02-14T17:20:00.000000Z,-17634.19688,-12885.245288,15330.760105,1.945017395,-0.030042047,2.194510316
2025-02-14T17:25:00.000000Z,-17038.65369,-12898.114552,15974.431372,2.024618627,-0.056318905,2.095950497
2025-02-14T17:30:00.000000Z,-16419.829669,-12919.365384,16587.930962,2.100180747,-0.08588278,1.993396574
2025-02-14T17:35:00.000000Z,-15778.973772,-12949.95037,17170.088706,2.171458137,-0.118507665,1.887036836
2025-02-14T17:40:00.000000Z,-15117.406308,-12990.752054,17719.792004,2.238220914,-0.153952805,1.777066767
2025-02-14T17:45:00.000000Z,-14436.514066,-13042.578672,18235.987945,2.300255879,-0.191963725,1.663688726
2025-02-14T17:50:00.000000Z,-13737.745189,-13106.160195,18717.68531,2.357367396,-0.232273328,1.547111622
2025-02-14T17:55:00.000000Z,-13022.603769,-13182.144714,19163.956501,2.409378201,-0.274603047,1.427550578
2025-02-15T22:00:00.000000Z,12719.906209,-22973.216323,-2919.624237,0.166391037,0.492559903,-3.123792058
2025-02-15T22:05:00.000000Z,12763.947113,-22809.645328,-3853.618276,0.127947376,0.59806252,-3.101825011
2025-02-15T22:10:00.000000Z,12797.11864,-22614.307017,-4780.115614,0.093943045,0.704282934,-3.073822153
2025-02-15T22:15:00.000000Z,12820.764557,-22387.039431,-5697.313419,0.064454147,0.810864606,-3.039838245
2025-02-15T22:20:00.000000Z,12836.248129,-22127.788104,-6603.42711,0.039534514,0.917447725,-2.99994026
2025-02-15T22:25:00.000000Z,12844.945402,-21836.606806,-7496.694024,0.019215503,1.023670767,-2.95420724
2025-02-15T22:30:00.000000Z,12848.238445,-21513.657826,-8375.376998,0.003505895,1.129172061,-2.902730123
2025-02-15T22:35:00.000000Z,12847.508574,-21159.21178,-9237.76791,-0.007608103,1.233591356,-2.845611538
2025-02-15T22:40:00.000000Z,12844.129592,-20773.646957,-10082.191143,-0.014162751,1.336571376,-2.782965579
2025-02-15T22:45:00.000000Z,12839.46108,-20357.44818,-10907.007007,-0.016216563,1.437759374,-2.714917544
2025-02-15T22:50:00.000000Z,12834.841764,-19911.205233,-11710.615042,-0.013849995,1.536808653,-2.641603653
2025-02-15T22:55:00.000000Z,12831.582992,-19435.610809,-12491.457255,-0.007165027,1.633380063,-2.563170736
2025-02-15T23:00:00.000000Z,12830.962356,-18931.458032,-13248.021256,0.003715349,1.727143465,-2.479775901
2025-02-15T23:05:00.000000Z,12834.217468,-18399.637543,-13978.843273,0.018647738,1.817779147,-2.391586178
2025-02-15T23:10:00.000000Z,12842.539953,-17841.134155,-14682.511094,0.037469049,1.9049792,-2.298778135
2025-02-15T23:15:00.000000Z,12857.069649,-17257.023118,-15357.666858,0.059997285,1.988448832,-2.20153748
2025-02-15T23:20:00.000000Z,12878.88907,-16648.465994,-16003.009734,0.086032422,2.067907621,-2.100058643
2025-02-15T23:25:00.000000Z,12909.018136,-16016.706173,-16617.298468,0.115357369,2.143090705,-1.994544334
2025-02-15T23:30:00.000000Z,12948.40921,-15363.064024,-17199.353812,0.147739003,2.213749899,-1.885205088
2025-02-15T23:35:00.000000Z,12997.942447,-14688.931737,-17748.060789,0.182929276,2.279654736,-1.772258795
2025-02-15T23:40:00.000000Z,13058.4215,-13995.767868,-18262.370834,0.220666388,2.340593419,-1.655930216
2025-02-15T23:45:00.000000Z,13130.569569,-13285.091596,-18741.303782,0.260676018,2.3963737,-1.536450485
2025-02-15T23:50:00.000000Z,13215.02584,-12558.476752,-19183.949691,0.302672613,2.44682366,-1.4140566
2025-02-15T23:55:00.000000Z,13312.342315,-11817.545599,-19589.470541,0.346360717,2.491792401,-1.288990905
2025-02-14T20:10:00.000000Z,6490.331478,-19784.478103,16396.303909,1.80569028,-1.073094888,-2.039852251
2025-02-14T20:15:00.000000Z,7020.203712,-20103.675511,15768.743254,1.726499008,-1.054039621,-2.143224315
2025-02-14T20:20:00.000000Z,7526.072272,-20416.390775,15110.776178,1.645721799,-1.029874099,-2.242528069
2025-02-14T20:25:00.000000Z,8007.511977,-20721.086098,14423.653098,1.563696589,-1.000570627,-2.337565285
2025-02-14T20:30:00.000000Z,8464.199512,-21016.218775,13708.682723,1.480764337,-0.966124173,-2.428145675
2025-02-14T20:35:00.000000Z,8895.914123,-21300.248004,12967.229599,1.397267539,-0.926552501,-2.514087328
2025-02-14T20:40:00.000000Z,9302.537838,-21571.641736,12200.711546,1.313548731,-0.881896203,-2.595217118
2025-02-14T20:45:00.000000Z,9684.055275,-21828.883521,11410.596946,1.229948993,-0.832218627,-2.671371108
2025-02-14T20:50:00.000000Z,10040.552965,-22070.479302,10598.401938,1.14680645,-0.777605702,-2.742394931
2025-02-14T20:55:00.000000Z,10372.21825,-22294.964157,9765.687488,1.064454789,-0.718165668,-2.808144156
2025-02-14T21:00:00.000000Z,10679.337728,-22500.908937,8914.056358,0.98322179,-0.654028695,-2.868484629
2025-02-14T21:05:00.000000Z,10962.29526,-22686.926773,8045.149981,0.903427876,-0.585346409,-2.923292799
2025-02-14T21:10:00.000000Z,11221.569559,-22851.679433,7160.645218,0.825384703,-0.512291312,-2.972456018
2025-02-14T21:15:00.000000Z,11457.731342,-22993.883485,6262.251057,0.749393776,-0.435056115,-3.015872819
2025-02-14T21:20:00.000000Z,11671.440093,-23112.316245,5351.705213,0.675745119,-0.353852965,-3.053453174
2025-02-14T21:25:00.000000Z,11863.440412,-23205.821483,4430.770677,0.604715988,-0.268912597,-3.085118715
2025-02-14T21:30:00.000000Z,12034.558013,-23273.314863,3501.232163,0.536569644,-0.180483386,-3.110802942
2025-02-14T21:35:00.000000Z,12185.695339,-23313.789077,2564.892537,0.471554186,-0.088830317,-3.130451397
2025-02-14T21:40:00.000000Z,12317.826853,-23326.31867,1623.569177,0.409901455,0.005766109,-3.14402181
2025-02-14T21:45:00.000000Z,12431.994,-23310.064515,679.090296,0.351826007,0.103011066,-3.151484217
2025-02-14T21:50:00.000000Z,12529.299881,-23264.277931,-266.708751,0.297524169,0.202596635,-3.152821055
2025-02-14T21:55:00.000000Z,12610.903651,-23188.304409,-1211.989219,0.247173178,0.304203123,-3.148027215
2025-02-16T00:00:00.000000Z,13422.980926,-11063.96277,-19957.101573,0.391436187,2.531150541,-1.161500359
2025-02-16T00:05:00.000000Z,13547.311619,-10299.427418,-20286.153305,0.437588266,2.564791131,-1.031836825
2025-02-16T00:10:00.000000Z,13685.609866,-9525.668405,-20576.011856,0.48450002,2.592629401,-0.900255307
2025-02-16T00:15:00.000000Z,13838.055508,-8744.436273,-20826.140522,0.531850463,2.614603512,-0.767014217
2025-02-16T00:20:00.000000Z,14004.731643,-7957.496676,-21036.080529,0.579315868,2.630674639,-0.632374634
2025-02-16T00:25:00.000000Z,14185.624024,-7166.623443,-21205.451766,0.626571244,2.640827063,-0.49659976
2025-02-16T00:30:00.000000Z,14380.620903,-6373.591652,-21333.953329,0.673291823,2.64506817,-0.359954372
2025-02-16T00:35:00.000000Z,14589.51332,-5580.170712,-21421.363918,0.719154537,2.643428346,-0.222704286
2025-02-16T00:40:00.000000Z,14811.995832,-4788.117498,-21467.542063,0.76383948,2.63596077,-0.085115815
2025-02-16T00:45:00.000000Z,15047.667679,-3999.169538,-21472.426198,0.807031355,2.622741113,0.052544765
2025-02-16T00:50:00.000000Z,15296.034385,-3215.038339,-21436.034568,0.848420897,2.603867141,0.190011743
2025-02-16T00:55:00.000000Z,15556.509768,-2437.402824,-21358.46498,0.88770626,2.579458219,0.327020497
2025-02-16T01:00:00.000000Z,15828.418381,-1667.902935,-21239.894401,0.92459437,2.549654732,0.463308006
2025-02-16T01:05:00.000000Z,16110.998327,-908.133437,-21080.578401,0.958802234,2.51461741,0.598613357
2025-02-16T01:10:00.000000Z,16403.404488,-159.637908,-20880.850445,0.990058204,2.474526576,0.732678243
2025-02-16T01:15:00.000000Z,16704.712102,576.097001,-20641.121037,1.018103177,2.429581311,0.865247448
2025-02-16T01:20:00.000000Z,17013.920705,1297.647069,-20361.876724,1.042691753,2.37999854,0.996069319
2025-02-16T01:25:00.000000Z,17329.958398,2003.655698,-20043.678957,1.06359331,2.326012048,1.124896234
2025-02-16T01:30:00.000000Z,17651.686449,2692.838831,-19687.162813,1.080593031,2.267871434,1.251485048
2025-02-16T01:35:00.000000Z,17977.904165,3363.989525,-19293.035583,1.093492845,2.205840992,1.37559753
2025-02-16T01:40:00.000000Z,18307.354056,4015.98218,-18862.075239,1.1021123,2.140198545,1.497000788
2025-02-16T01:45:00.000000Z,18638.727241,4647.776425,-18395.128769,1.106289356,2.071234222,1.615467676
2025-02-16T01:50:00.000000Z,18970.669072,5258.420608,-17893.110395,1.105881095,1.999249191,1.730777186
2025-02-16T01:55:00.000000Z,19301.78498,5847.054926,-17356.999671,1.100764352,1.924554348,1.842714827
2025-02-14T18:00:00.000000Z,-12292.644123,-13271.095268,19573.939392,2.45612996,-0.318663969,1.305226531
2025-02-14T18:05:00.000000Z,-11549.465442,-13373.486566,19946.838817,2.497484593,-0.364158344,1.180366046
2025-02-14T18:10:00.000000Z,-10794.704969,-13489.703076,20281.928514,2.533323965,-0.410780535,1.053200686
2025-02-14T18:15:00.000000Z,-10030.032379,-13620.036484,20578.552359,2.563550918,-0.458218535,0.923966787
2025-02-14T18:20:00.000000Z,-9257.143322,-13764.684083,20836.125785,2.588089577,-0.506155285,0.792905022
2025-02-14T18:25:00.000000Z,-8477.752967,-13923.747463,21054.137032,2.606885679,-0.554270053,0.660259993
2025-02-14T18:30:00.000000Z,-7693.589491,-14097.231618,21232.148254,2.619906815,-0.60223984,0.526279811
2025-02-14T18:35:00.000000Z,-6906.38749,-14285.044481,21369.796513,2.627142594,-0.649740797,0.39121567
2025-02-14T18:40:00.000000Z,-6117.881377,-14486.996878,21466.794636,2.628604701,-0.696449646,0.255321403
2025-02-14T18:45:00.000000Z,-5329.798742,-14702.802918,21522.931939,2.624326872,-0.742045118,0.118853042
2025-02-14T18:50:00.000000Z,-4543.853759,-14932.08081,21538.074824,2.614364782,-0.786209374,-0.017931646
2025-02-14T18:55:00.000000Z,-3761.740636,-15174.3541,21512.167221,2.598795831,-0.828629424,-0.154773618
2025-02-14T19:00:00.000000Z,-2985.127136,-15429.053343,21445.230908,2.577718846,-0.868998531,-0.291413029
2025-02-14T19:05:00.000000Z,-2215.648217,-15695.518183,21337.365678,2.551253689,-0.907017596,-0.427589707
2025-02-14T19:10:00.000000Z,-1454.89977,-15972.999849,21188.749361,2.51954078,-0.942396508,-0.563043641
2025-02-14T19:15:00.000000Z,-704.432553,-16260.664053,20999.637709,2.482740526,-0.974855476,-0.69751547
2025-02-14T19:20:00.000000Z,34.253721,-16557.594277,20770.364118,2.441032667,-1.004126305,-0.830746974
2025-02-14T19:25:00.000000Z,759.716059,-16862.795439,20501.339223,2.394615539,-1.029953644,-0.962481573
2025-02-14T19:30:00.000000Z,1470.573667,-17175.19793,20193.050319,2.343705253,-1.052096173,-1.092464827
2025-02-14T19:35:00.000000Z,2165.513135,-17493.661991,19846.060654,2.288534796,-1.070327739,-1.220444938
2025-02-14T19:40:00.000000Z,2843.293362,-17816.982427,19461.008552,2.229353061,-1.084438434,-1.34617325
2025-02-14T19:45:00.000000Z,3502.750171,-18143.893637,19038.606399,2.166423798,-1.094235599,-1.469404755
2025-02-14T19:50:00.000000Z,4142.800594,-18473.074922,18579.639483,2.100024505,-1.099544766,-1.589898586
2025-02-14T19:55:00.000000Z,4762.446835,-18803.156087,18084.964658,2.030445251,-1.100210521,-1.707418523
2025-02-14T19:59:40.000000Z,5321.569944,-19110.796715,17591.869026,1.962901213,-1.096522615,-1.814216505
2025-02-14T20:04:40.000000Z,5899.271504,-19438.575291,17030.847897,1.888037569,-1.087844796,-1.925336602
2025-02-14T20:09:40.000000Z,6454.165606,-19763.005286,16437.030629,1.810905425,-1.074184646,-2.032821326
2025-02-17T16:00:00.000000Z,-22957.283824,-12930.985676,4328.956981,0.617694395,-0.076457647,3.057693055
2025-02-17T16:05:00.000000Z,-22756.314063,-12949.110555,5241.897718,0.722174441,-0.045123298,3.027622811
2025-02-17T16:10:00.000000Z,-22523.953906,-12958.511396,6144.960185,0.826906958,-0.01830566,2.991848158
2025-02-17T16:15:00.000000Z,-22260.178791,-12960.549583,7036.442792,0.931550418,0.003956366,2.950435666
2025-02-17T16:20:00.000000Z,-21965.066839,-12956.59496,7914.665434,1.035762057,0.021645261,2.903462035
2025-02-17T16:25:00.000000Z,-21638.799009,-12948.019419,8777.972529,1.139199248,0.03476493,2.85101396
2025-02-17T16:30:00.000000Z,-21281.658858,-12936.190468,9624.735981,1.241520883,0.043340649,2.793187992
2025-02-17T16:35:00.000000Z,-20894.031873,-12922.464843,10453.358124,1.342388738,0.047418926,2.730090377
2025-02-17T16:40:00.000000Z,-20476.40441,-12908.182172,11262.274586,1.441468843,0.047067282,2.661836888
2025-02-17T16:45:00.000000Z,-20029.362206,-12894.658712,12049.957144,1.538432822,0.042373934,2.588552636
2025-02-17T16:50:00.000000Z,-19553.588506,-12883.181196,12814.916481,1.632959221,0.033447401,2.510371871
2025-02-17T16:55:00.000000Z,-19049.861791,-12875.000819,13555.704898,1.724734805,0.020416022,2.427437768
2025-02-17T17:00:00.000000Z,-18519.053117,-12871.327369,14270.918964,1.813455829,0.003427397,2.3399022
2025-02-17T17:05:00.000000Z,-17962.123094,-12873.323543,14959.202075,1.898829266,-0.017352258,2.247925499
2025-02-17T17:10:00.000000Z,-17380.118476,-12882.099471,15619.246971,1.980573998,-0.04173883,2.151676196
2025-02-17T17:15:00.000000Z,-16774.168424,-12898.707465,16249.798149,2.058421961,-0.069531105,2.05133076
2025-02-17T17:20:00.000000Z,-16145.48042,-12924.13701,16849.654199,2.13211924,-0.100511633,1.947073311
2025-02-17T17:25:00.000000Z,-15495.335877,-12959.310042,17417.670057,2.201427106,-0.134447664,1.839095332
2025-02-17T17:30:00.000000Z,-14825.085416,-13005.076498,17952.759172,2.266122996,-0.17109215,1.727595356
2025-02-17T17:35:00.000000Z,-14136.14389,-13062.210189,18453.895572,2.326001431,-0.210184808,1.612778651
2025-02-17T17:40:00.000000Z,-13429.985125,-13131.404995,18920.115832,2.380874867,-0.251453236,1.494856888
2025-02-17T17:45:00.000000Z,-12708.13642,-13213.271405,19350.52095,2.430574467,-0.294614092,1.374047792
2025-02-17T17:50:00.000000Z,-11972.172839,-13308.333414,19744.278098,2.474950816,-0.339374313,1.250574792
2025-02-17T17:55:00.000000Z,-11223.711267,-13417.0258,20100.622292,2.513874542,-0.385432381,1.124666648
2025-02-14T22:00:00.000000Z,12678.014677,-23081.587027,-2154.912675,0.200930287,0.407500201,-3.137109717
2025-02-14T22:05:00.000000Z,12731.886429,-22943.669118,-3093.644727,0.158932532,0.512149138,-3.120089064
